ID,OriginalID,Trial name,Author,Year of publication ,Study_type2,Study_type,Journal ,# countries,Country of publications,Continent,Study_pop,CVD_Hx_%,Median_Mean_BP,LDL_mmol/L,Median_Mean_LDL,Median_follow-up_months,Mean_or_Median_age_all,Aspirin_use_usual_care_%,Mean age (SD),Male_%,White_%,Black_%,Chinese_%,Asian_%,Hispanic _%,Turkey,others_%,Missing Data,MACE,MI,Stroke ,Mortality ,Moderate_High_Intensity,Comb_Statin,More than 2 combination,More than 3 combination,Diuretic,Aspirin,RAAS,Comb1_All,Polypills ,Placebo or standard of care,Primary prevention ,Secondary prevention ,Median_time_from_MI_Randomization_days,Relative_risk_mortality,Mortality_LCI,Mortality_UCI,Sample_size_all,Sample_size_polypill,Sample_Size_control,Polypill_events,Polypill_No_events,Control_Events,Control_No_events,Primary_outcome_events,Relative_Risk_Primary_CVD_outcome,Primary_CVD_outcome_LCI,Primary_CVD_outcome_UCI,CVD_death_RR,CVD_death_LCI,CVD_death_UCI,Adherence_Last_follow_up_Polypill_%,Adherence_Last_follow_up_usual_care_%,Adherence_RR,Adherence_RR_LCI,Adherence_RR_UCI,Decrease_Blood_pressure_SBP,Decrease_Blood_pressure_DBP,Decrease_LDL_mmol/L,Decrease_LDL,link
11,11,No name,Gonz‡lez-Juanatey,2019,RCT,RCT,Spanish Journal of Cardiology,1,USA,North America,moderate to severe native valuvlar AS,30,139/83,,135,2,55,13,55 (9.2),58,80,18,0,0,0,0,7,0,No,No,No,No,YES,YES,YES,NO,NO,YES,NO,Aspirin_ACEi_Statin,atorvastatin 40 mg/ ramipril 10 mg/aspirin 100 mg,standard care,Yes,No,NA,NA,NA,NA,241,84,84,5,NA,12,NA,differences in the adjusted mean 24-hour SBP and LDL-C,NA,NA,NA,NA,NA,NA,12,18,NA,NA,NA,6.1,4.6,,33.9,https://www.revespcardiol.org/en-pdf-S1885585719304153
12,12,Polypill for Cardiovascular Disease Prevention in an Underserved Population,Munoz et al.,2019,RCT,RCT,NEJM,1,United States,North America,"a systolic blood pressure between 120 and 160 mm Hg, an LDL cholesterol level of less than 190 mg per deciliter (4.90 mmol per liter), an estimated glomerular filtration rate of at least 60 ml per minute per 1.73 m2 of body-surface area, normal potassium levels, hepatic aminotransferase levels of less than three times the upper limit of the normal range, no contraindications to any polypill component, status of not being pregnant, and current use of no more than two antihypertensive medications",NA,140/83,,62.5,12,56,NA,56 (6),44,NA,96,NA,NA,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,YES,YES,NO,YES,ARB_CCB_HCTZ_Statin,"Atorvastatin 10 mg, Amlodipine 2.5 mg, Losartan 25 mg, Hydrochlorothiazide 12.5 mg",Usual care,Yes,No,NA,NA,NA,NA,303,148,155,NA,NA,NA,NA,changes from baseline in systolic blood pressure and low-density lipoprotein (LDL) cholesterol level at 12 month,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,7,3,,11,https://www.nejm.org/doi/full/10.1056/nejmoa1815359
13,13,PolyIran Trial,Roshandel et al.,2019,RCT,RCT,The Lancet,1,Iran,Asia,rural participants older than 50 years,11.3,130/78,,117,2,59,NA,59.3(59.0Ð59.6),49,NA,NA,NA,NA,NA,82.25,17.75,NA,Yes,Yes,Yes,Yes,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_HCTZ_Statin,"hydrochlorothiazide 12á5 mg, aspirin 81 mg, atorvastatin 20 mg, and enalapril 5 mg",Non-pharmacological preventive interventions,Yes,Yes,NA,0.93,0.77,1.11,6838,3421,3417,202,NA,301,NA,major cardiovascular events,0.66,0.55,0.8,0.51,0.3,0.87,80.5,NA,NA,NA,NA,1.4,1.4,,19.54,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(19)31791-X/fulltext
14,14,Post-hoc analysis of the UMPIRE trial,Lafeber et al.,2017,Cohort,Cohort,European Journal of Preventive Cardiology,3,"UK, Ireland, Netherlands, India",multiple,"Men and women aged 18 years or older at a high cardiovascular risk (defined as either established cardiovascular disease with a history of coronary heart disease, ischaemic cerebrovascular disease, or peripheral vascular disease or an estimated 5-year cardiovascular risk of ³15%)",,137/78,,39,12,62,89,62.1 (10.4),82,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,NO,NO,YES,YES,Asprin_ARB_Statin,"version 1 (containing aspirin 75 mg, simvastatin 40 mg, lisinopril 10 mg and atenolol 50 mg) or version 2 (containing aspirin 75 mg, simvastatin 40 mg, lisinopril 10 mg and hydrochlorothiazide 12.5 mg)",Usual care,Yes,Yes,NA,NA,NA,NA,2004,1002,1002,NA,NA,NA,NA,"The outcomes of the present analyses were the use of antiplatelet, statin and BP-lowering therapy in the usual care group compared to the polypill-based treatment group and the treatment effect on LDL-cholesterol, systolic BP and estimated cardiovascular RR reduction in relation to the potency of previous therapy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,,6.6,https://pubmed.ncbi.nlm.nih.gov/28436727/
15,15,IMPACT,Selak et al.,2014,RCT,RCT,BMJ,1,New Zealand ,Oceania,M_ori and non-M_ori primary care patients at high risk of cardiovascular disease (either because of a prior event or with an estimated 5-year risk of a first event of at least 15%),46,144/83,,99,24,62,77,62,64,50,NA,NA,NA,NA,NA,50,NA,Yes ,Yes,Maybe,Yes ,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_BB_Statin_BB_OR_HCTZ,"aspirin 75_mg, simvastatin 40_mg and lisinopril 10_mg, plus either atenolol 50_mg or hydrochlorothiazide 12.5_mg",Usual care,Yes,No,NA,NA,NA,NA,513,256,257,NA,NA,NA,NA,"the use of all recommended medications (antiplatelet, statin and two antihypertensives) at 12 months",1.77,1.44,2.17,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.25,0.105,NA,https://www.bmj.com/content/348/bmj.g3318.abstract
16,16,PILL-Pilot study,Lafeber et al.,2016,RCT,RCT,European Journal of Preventive Cardiology,7,"Australia, Brazil, India, The Netherlands, New Zealand, UK, USA",multiple,"378 individuals without an indication for any component of the polypill, but who had an estimated five-year risk for cardiovascular disease ³7.5%",0,134/81,,143,3,62,NA,61 ± 7,81,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_Statin_HCTZ,"containing aspirin 75 mg, simvastatin 20 mg, lisinopril 10 mg and hydrochlorothiazide 12.5 mg",placebo ,Yes,No,NA,NA,NA,NA,378,189,189,110,79,79,110,"effect modification by baseline risk factor levels on change in LDL-cholesterol, systolic BP, calculated cardiovascular relative risk reduction and adverse events",0.52,0.48,0.57,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,,34.8,https://pubmed.ncbi.nlm.nih.gov/26743587/
17,17,TIPS-2,Yusuf et al,2012,RCT,RCT,Circ Cardiovasc Qual Outcomes,1,India,Asia,518 individuals with previous vascular disease or diabetes mellitus from 27 centers in India,,131/79,,69,2,58,NA,57.3 (9.1),59,NA,NA,NA,100,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,YES,YES,YES,YES,Asprin_ARB_ACEi_BB_HCTZ_Statin,"acetylsalicylic acid or aspirin, 100mg; simvastatin, 20mg; atenolol, 50mg; ramipril, 5mg; hydrochlorothiazide, 12.5mg)",2 capsules of the polycap plus K+ supplementation,Yes,Yes,,NA,,,514,,,,,,,"effects on BP, heart rate (HR), serum lipids, serum and urinary K+, and tolerability",NA,NA,NA,,,,,,,,,2.8,,,6.6,file:///Users/shivani/Downloads/Comparison%20of%20Risk%20Factor%20Reduction%20and%20Tolerability%20of%20a%20Full-Dose%20Polypill%20(With%20Potassium)%20Versus%20Low-Dose%20Polypill%20(Polycap)%20in%20Individuals%20at%20High%20Risk%20of%20Cardiovascular%20Diseases_The%20Second%20Indian%20Polycap%20Study%20(TIPS-2)%20Investigators.pdf
18,18,PILL,Rogers et al,2011,RCT,RCT,PLoS One,6,"Australia, Brazil, India, Netherlands, New Zealand, US",multiple,adults ($18 years) with a cardiovascular disease (CVD) risk over 5 years of at least 7.5%,0,134/81,,143,3,61,NA,61.2 (7.2),81,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_HCTZ_Statin,"aspirin 75 mg, lisinopril 10 mg, hydrochlorothiazide 12.5 mg and simvastatin 20 mg",placebo,Yes,No,NA,NA,NA,NA,378,189,189,0,189,0,189,"systolic blood pressure (SBP), LDL-cholesterol and tolerability (proportion discontinued randomised therapy) at 12 weeks follow-up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,,0.8,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0019857&type=printable
19,19,Sri Lanka Polypill study,Soliman et al,2011,RCT,RCT,Trials,1,Sri Lanka,Asia,216 patients without established CVD,0,165,,NA,3,59,NA,59.0 ± 6.9,24,NA,NA,NA,100,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_HCTZ_Statin,"75 mg aspirin, 20 mg simvastatin, 10 mg lisinopril and 12.5 mg hydrochlorothiazide",Usual care,Yes,No,NA,NA,NA,NA,203,105,111,NA,NA,NA,NA,"reduction in systolic blood pressure, total cholesterol and estimated 10-year CVD risk",NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,1.9,1.9,,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3023675/pdf/1745-6215-12-3.pdf
20,20,Kanyini GAP,Patel et al,2015,RCT,RCT,European Journal of Preventitve Cardiology,1,Australia ,Oceania,"people with established CVD or an estimated five-year CVD risk of ³15%, with indications for antiplatelet, statin and ³2 blood pressure lowering drugs from Australian general practices",60.8,143/81,,93,19,64,81,63.4 (12.5),63,NA,NA,NA,NA,NA,NA,50.6,NA,Yes,Yes,Yes,No,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_BB_HCTZ_Statin,"Aspirin 75 mg, Simvastatin 40 mg, Lisinopril 10 mg, Atenolol 50 mg or Hydrochlorothiazide 12.5 mg",Usual care,Yes,Yes,NA,NA,NA,NA,623,311,312,26,285,22,290,"self-reported combination treatment use, systolic blood pressure and total cholesterol",NA,NA,NA,NA,NA,NA,70,50,1.49,1.3,1.72,1.5,1.5,,0,https://academic-oup-com.ezaccess.libraries.psu.edu/eurjpc/article/22/7/920/5927084
21,21,Iran Polypill Trial,Malekzadeh et al,2010,RCT,RCT,International Journal of Clinical Practice,1,Iran,Asia,"75 participants, aged 50 to 79 years, without cardiovascular disease who are residents of Kalaleh, Golestan, Iran",0,128/80,,116,12,59,0,59.0 ± 6.5,62,NA,NA,NA,100,NA,NA,NA,NA,No,No,Yes,No,YES,YES,YES,YES,YES,YES,YES,Asprin_ACEi_HCTZ_Statin,"aspirin 81 mg, enalapril 2.5 mg, atorvastatin 20 mg and hydrochlorothiazide 12.5 mg",Placebo,Yes,No,NA,NA,NA,NA,475,241,234,0,241,1,233,"changes in LDL-cholesterol, systolic and diastolic blood pressure and adverse reactions",0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1.6,,0.46,https://onlinelibrary-wiley-com.ezaccess.libraries.psu.edu/doi/full/10.1111/j.1742-1241.2010.02412.x
22,22,TIPS,Yusuf et al,2009,RCT,RCT,The Lancet,1,India,Asia,"2053 individuals without cardiovascular disease, aged 45Ð80 years, and with one risk factor",0,134/85,3,116,3,54,NA,53.7 (7.7),56,NA,NA,NA,100,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_BB_HCTZ_Statin,"thiazide (12á5 mg), atenolol (50 mg), ramipril (5 mg), simvastatin (20 mg), and aspirin (100 mg)",Usual care,Yes,No,NA,NA,NA,NA,2053,412,1641,NA,NA,NA,NA,"LDL for the effect of lipids, blood pressure for antihypertensive drugs, heart rate for the effects of atenolol, urinary 11-dehydrothromboxane B2 for the antiplatelet effects of aspirin, and rates of discontinuation of drugs for safety",NA,NA,NA,NA,NA,NA,81,,,,,7.4,5.6,0.7,27,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(09)60611-5/abstract
23,23,Crucial,Zamorano et al,2011,RCT,RCT,Integrated Blood Pressure Control,19,19 countries ,multiple,"A total of 1461 patients aged 35Ð79 years with HTN (untreated or treated), TC ² 6.5 mmol/L (untreated), and three or more additional CV risk factors, with or without diabetes but without CHD",0,147/88,NA,119,12,60,NA,60,52,47,NA,NA,36,NA,NA,NA,NA,,,,,YES,YES,NO,NO,NO,NO,NO,CCB_Statin,"Atorvastatin 10 or 20 mg, Amlodipine 5 or 10 mg ",usual care,Yes,Yes,NA,NA,NA,NA,1461,NA,NA,NA,NA,NA,NA,calculated 10-year risk of developing CHD at 52 weeks using a Framingham CHD model,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,10.5,,,https://www.tandfonline.com/doi/abs/10.1185/03007995.2011.555754
24,24,HOPE-3,Lonn et al.,2016,RCT,RCT,NEJM,21,21 countries,multiple,"men 55 years of age or older and women 65 years of age or older who had at least one of the following cardiovascular risk factors: elevated waist-to-hip ratio, history of low concentration of high-density lipoprotein cholesterol, current or recent tobacco use, dysglycemia, family history of premature coronary disease, and mild renal dysfunction",,138/82,NA,128,67,66,11,65.7 (6.4),54,20,1.17,29.05,19.97,27.5,NA,1.55,NA,Yes ,Yes,Yes,Yes ,YES,NO,NO,NO,YES,NO,YES,ARB_HTCZ,fixed combination of candesartan (16 mg per day) and hydrochlorothiazide (12.5 mg per day) or placebo and to rosuvastatin (10 mg per day) or placebo.,Placebo,Yes,No,NA,0.98,0.84,1.14,12705,6356,6349,260,6096,279,6070,"The first coprimary outcome was the composite of death from cardiovascular causes, nonfatal myocardial infarction, or nonfatal stroke; the second coprimary outcome additionally included resuscitated cardiac arrest, heart failure, and revascularization.",0.95,0.81,1.11,0.91,0.73,1.13,NA,NA,NA,NA,NA,10,5.7,NA,NA,https://www.nejm.org/doi/full/10.1056/nejmoa1600175
25,25,TEMPUS,Lafeber et al.,2015,randomized three-period crossover trial,RCT,International Journal of Cardiology,1,The Netherlands,Europe,Seventy-eight patients with established cardiovascular disease,100,132/73,2.2,85,4.5,67,96,67,86,100,NA,NA,NA,NA,NA,NA,NA,,,,,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_HCTZ_Statin,"aspirin 75 mg, simvastatin 40 mg, lisinopril 10 mg and hydrochlorothiazide 12.5 mg",usual care,No,Yes,NA,NA,NA,NA,78,78,78,NA,NA,NA,NA,"whether there is a difference in morning administration of a cardiovascular polypill, an FDC formulation containing aspirin, simvastatin, lisinopril and hydrochlorothiazide, on LDL-cholesterol and mean 24-hour systolic BP levels in individuals at high risk of cardiovascular disease",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1.1,NA,0.2*,8,https://www-sciencedirect-com.ezaccess.libraries.psu.edu/science/article/pii/S0167527314023572?via%3Dihub
